11:11:53 INFO  manager.ApplicationManager - All tests starts in 'Chrome' browser
11:11:57 INFO  tests.TestBase - Starts test---> loginPositive
11:11:57 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Logout ']
11:12:02 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Logout '] was found
11:12:02 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Log in ']
11:12:02 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Log in '] was found
11:12:02 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input#email
11:12:02 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input#email was found
11:12:02 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input#password
11:12:02 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input#password was found
11:12:02 INFO  tests.TestBase - Login with email:---> user2900@gmail.com and password:---> As2900d#%
11:12:02 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: form button[type='submit']
11:12:02 INFO  manager.MyListener - Element with locator-->By.cssSelector: form button[type='submit'] was found
11:12:03 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: h2.message
11:12:04 INFO  manager.MyListener - Element with locator-->By.cssSelector: h2.message was found
11:12:04 INFO  manager.HelperBase - Logged in with message---> 
11:12:04 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
11:12:04 INFO  manager.MyListener - Element with locator-->By.xpath: //button[text()='Ok'] was found
11:12:04 INFO  tests.TestBase - Ends test---> loginPositive
