17:55:17 INFO  manager.ApplicationManager - All tests starts in 'FireFox' browser
17:55:19 INFO  tests.TestBase - Starts test---> registrationNegativeMail
17:55:19 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Logout ']
17:55:24 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Logout '] was found
17:55:24 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Sign up ']
17:55:24 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Sign up '] was found
17:55:25 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@id='name']
17:55:25 INFO  manager.MyListener - Element with locator-->By.xpath: //*[@id='name'] was found
17:55:25 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@id='lastName']
17:55:25 INFO  manager.MyListener - Element with locator-->By.xpath: //*[@id='lastName'] was found
17:55:25 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input#email
17:55:25 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input#email was found
17:55:25 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input#password
17:55:25 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input#password was found
17:55:26 INFO  tests.TestBase - Registration with Email = dumgmail.com, and password = Zz12345$
17:55:26 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input[type='checkbox']
17:55:26 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input[type='checkbox'] was found
17:55:26 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@class='checkbox-label terms-label']
17:55:26 INFO  manager.MyListener - Element with locator-->By.xpath: //*[@class='checkbox-label terms-label'] was found
17:55:26 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: form button[type='submit']
17:55:26 INFO  manager.MyListener - Element with locator-->By.cssSelector: form button[type='submit'] was found
17:55:27 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()='Wrong email format']
17:55:27 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()='Wrong email format'] was found
17:55:27 INFO  tests.TestBase - Ends test---> registrationNegativeMail
17:55:27 INFO  tests.TestBase - Starts test---> registrationNegativeMail
17:55:27 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Logout ']
17:55:32 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Logout '] was found
17:55:32 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Sign up ']
17:55:32 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Sign up '] was found
17:55:32 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@id='name']
